,Symbol,Description,Exchange,Last Price,Market Cap
104,AKAM,Akamai Technologies,NASDAQ,0,0
105,AKAO,Achaogen Inc,NASDAQ,0,0
106,AKBA,Akebia Therapeutics,NASDAQ,0,0
107,AKCA,Akcea Therapeutics Inc,NASDAQ,0,0
108,AKER,Akers Biosciences,NASDAQ,0,0
109,AKRX,Akorn Inc,NASDAQ,0,0
110,AKTS,Akoustis Technologies Inc,NASDAQ,0,0
111,AKTX,Akari Therapeutics,NASDAQ,0,0
112,ALAC,Alberton Acquisition Corp,NASDAQ,0,0
113,ALACR,Alberton Acquisition Corp Rights,NASDAQ,0,0
114,ALACU,Alberton Acquisition Corporation Unit,NASDAQ,0,0
115,ALACW,Alberton Acquisition Corp Warrant,NASDAQ,0,0
116,ALBO,Albireo Pharma Inc,NASDAQ,0,0
117,ALCO,Alico Inc,NASDAQ,0,0
118,ALDR,Alder Biopharma,NASDAQ,0,0
119,ALDX,Aldeyra Therapeu,NASDAQ,0,0
120,ALGN,Align Technology I,NASDAQ,0,0
121,ALGR,Allegro Merger Corp,NASDAQ,0,0
122,ALGRR,Allegro Merger Corp. Right,NASDAQ,0,0
123,ALGRU,Allegro Merger Corp. Unit,NASDAQ,0,0
124,ALGRW,Allegro Merger Corp. Warrant,NASDAQ,0,0
125,ALGT,Allegiant Travel Com,NASDAQ,0,0
126,ALIM,Alimera Sciences Inc,NASDAQ,0,0
127,ALJJ,Alj Regional Hold,NASDAQ,0,0
128,ALKS,Alkermes Plc,NASDAQ,0,0
129,ALLK,Allakos Inc,NASDAQ,0,0
130,ALLO,Allogene Therapeutics Inc,NASDAQ,0,0
131,ALLT,Allot Communications,NASDAQ,0,0
132,ALNA,Allena Pharmaceuticals Inc,NASDAQ,0,0
133,ALNY,Alnylam Pharmaceut,NASDAQ,0,0
134,ALOT,Astronova Inc,NASDAQ,0,0
135,ALPN,Alpine Immune Sciences Inc,NASDAQ,0,0
136,ALQA,Alliqua Biomedical,NASDAQ,0,0
137,ALRM,Alarm.com,NASDAQ,0,0
138,ALRN,Aileron Therapeutics Inc,NASDAQ,0,0
139,ALSK,Alaska Commun Sys,NASDAQ,0,0
140,ALT,Altimmune Inc,NASDAQ,0,0
141,ALTM,Altus Midstream Company,NASDAQ,0,0
142,ALTMW,Altus Midstream Company Warrants,NASDAQ,0,0
143,ALTR,Altair Engineering Inc Class A,NASDAQ,0,0
144,ALTY,G-X Super Dividend Alternatives ETF,NASDAQ,0,0
145,ALXN,Alexion Pharm Inc,NASDAQ,0,0
146,ALYA,Alithya Group Inc. Class A,NASDAQ,0,0
